"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"UP. COOPERATIVE FEDERATION LIMITED","PCF ORAI BUFFER GODOWN KONCH","6957872","MANDI PARISAR KONCH, KONCH","Jalaun","UTTAR PRADESH","1800","12-Jul-2024","11-Jan-2029","8765985001","Active",""
"Uttar Pradesh State Warehousing Corporation","U.P. STATE WAREHOUSE VISHIST MANDI BHOJLA","6590228","U.P. STATE WAREHOUSE VISHIST MANDI BHOJLA,","Jhansi","UTTAR PRADESH","5000","01-Jun-2022","31-May-2027","9076519010","Active",""
"Uttar Pradesh State Warehousing Corporation","UP STATE WAREHOUSE MUSKARA, RATH","6589683","Naveen Galla Mandi,, Hamirpur road Muskara","Hamirpur","UTTAR PRADESH","5000","01-Jun-2022","31-May-2027","6390003167","Active",""
"Uttar Pradesh State Warehousing Corporation","UP State Warehouse Pattan Dhoos","6543334","Pipraicha Pattan Dhoos Kushinagar,","Kushinagar","UTTAR PRADESH","24360","25-Nov-2021","24-Nov-2026","9839444625","Active",""
"Uttar Pradesh State Warehousing Corporation","SWC PEG RAMKOT","6536494","UPSWC,","Sitapur","UTTAR PRADESH","10000","07-Oct-2021","06-Oct-2026","6390003153","Active",""
"Uttar Pradesh State Warehousing Corporation","PEG RASRA BALLIA","6672398","KRISHI UTPADAN MANDI SAMITI, RASRA","Ballia","UTTAR PRADESH","5000","12-Jan-2023","11-Jan-2028","9415834741","Active",""
"Uttar Pradesh State Warehousing Corporation","PEG BHAWANIPUR 1ST(SUKHVEER AGRO ENERGY)","6640981","SUKHVEER AGRO ENERGY LTD. BHAWANIPUR VINDHYACHAL, MIRZAPUR","Mirzapur","UTTAR PRADESH","35500","13-Oct-2022","12-Oct-2027","9076519033","Active",""
"Uttar Pradesh State Warehousing Corporation","UP STATE WAREHOUSING CORPORATION, ARRA PAHADPUR FARRUKHABAD","6622260","NAVEEN MANDI STHAL, ARRA PAHADPUR, FARRUKHABAD","Farrukhabad","UTTAR PRADESH","5000","29-Aug-2022","28-Aug-2027","9076518929","Active",""
"Uttar Pradesh State Warehousing Corporation","UPSWC BHARTHANA","6546667","PADIYAPURA, BHARTHANA,","Etawah","UTTAR PRADESH","11450","20-Dec-2021","19-Dec-2026","9076518983","Active",""
"Uttar Pradesh State Warehousing Corporation","UP STATE WARE HOUSE JUNGLEOON KHALILABAD","6652770","UP STATE WARE HOUSE JUNGLEOON KHALILABAD,","Sant Kabir Nagar","UTTAR PRADESH","5040","21-Nov-2022","20-Nov-2027","9076518916","Active",""
"Uttar Pradesh State Warehousing Corporation","MISRIKH","6616684","UPSWC,","Sitapur","UTTAR PRADESH","17334","16-Aug-2022","15-Aug-2027","9026907282","Active",""
"Uttar Pradesh State Warehousing Corporation","UPSWC I.A NEW UNIT BAREILLY","6540454","INFRONT OF BHARAT GAS PLANT PARSAKHEDA ROAD NUMBER 4 BAREILLY,","Bareilly","UTTAR PRADESH","45000","03-Nov-2021","02-Nov-2026","9076518972","Active",""
"Uttar Pradesh State Warehousing Corporation","Kursi Road SWC","6640262","Industrial Area Near Umra Chauraha Barabanki,","Bara Banki","UTTAR PRADESH","16200","11-Oct-2022","10-Oct-2027","9076518955","Active",""
"Uttar Pradesh State Warehousing Corporation","swc babrala","6545040","swc babrala, swc babbrala","Moradabad","UTTAR PRADESH","23500","07-Dec-2021","06-Dec-2026","6390003162","Active",""
"Uttar Pradesh State Warehousing Corporation","UPSWC ALIGARH","6535868","NEAR TVS SHOWROOM SOOTMILL G.T.ROAD ALIGARH,","Aligarh","UTTAR PRADESH","59125","06-Oct-2021","05-Oct-2026","6390003168","Active",""
"Uttar Pradesh State Warehousing Corporation","SANDEELA","6587794","UPSWC,","Hardoi","UTTAR PRADESH","20020","31-May-2022","30-May-2027","6390003154","Active",""
"Uttar Pradesh State Warehousing Corporation","PEG Nathoopura (Mahoba)","6974885","Vill-Nathoopura,","Mahoba","UTTAR PRADESH","15000","04-Sep-2024","03-Sep-2029","9076518819","Active",""
"Uttar Pradesh State Warehousing Corporation","AGRA CITY","6655567","NEAR MANDI SAMATI FIROZABAD ROAD AGRA,","Agra","UTTAR PRADESH","11420","30-Nov-2022","28-Feb-2027","9076519018","Active",""
"Uttar Pradesh State Warehousing Corporation","UPSWC KHIMSEPUR","6544324","DHEERPUR CHURAHA, KHIMSEPUR,","Farrukhabad","UTTAR PRADESH","34500","03-Dec-2021","02-Dec-2026","9076518928","Active",""
"Uttar Pradesh State Warehousing Corporation","UPSWC I.A. ETAWAH","6535777","SARAI ESAR ETAWAH,","Etawah","UTTAR PRADESH","64220","05-Oct-2021","04-Oct-2026","9076818925","Active",""
"Uttar Pradesh State Warehousing Corporation","Uttar Pradesh State Warehousing Corporation, Warehouse Pahasu","6538656","Khurja Road Pahasu,","Bulandshahr","UTTAR PRADESH","6722","27-Oct-2021","26-Oct-2026","9076518818","Active",""
"Uttar Pradesh State Warehousing Corporation","UPSWC JASWANT NAGAR","6544506","NH-2 HIGHWAY, SAFAI ROAD JASWANTNAGAR,","Etawah","UTTAR PRADESH","18620","06-Dec-2021","05-Dec-2026","9076518926","Active",""
"Uttar Pradesh State Warehousing Corporation","U.P. State Warehouse Charkhari, Mahoba","6590137","Vishishth Mandi Supa, Mahoba,","Mahoba","UTTAR PRADESH","5000","01-Jun-2022","31-May-2027","9076519017","Active",""
"Uttar Pradesh State Warehousing Corporation","UPSWC JAINPUR","6595805","JAINPUR, KANPUR DEHAT,","Kanpur Dehat","UTTAR PRADESH","28900","16-Jun-2022","15-Jun-2027","9076518933","Active",""
"Uttar Pradesh State Warehousing Corporation","UPSWC ETAH","6535686","SAITHARI G.T.ROAD ETAH,","Etah","UTTAR PRADESH","64940","04-Oct-2021","03-Oct-2026","9076519027","Active",""
"Uttar Pradesh State Warehousing Corporation","RAIBAREILLY","6599401","UPSWC,","Rae Bareli","UTTAR PRADESH","12672","01-Jul-2022","30-Jun-2027","9076518952","Active",""
"Uttar Pradesh State Warehousing Corporation","UPSWC Baheri","6534788","UP State Warehouse,Near Mandi Samiti, Narayan Nagla Road,Baheri,","Bareilly","UTTAR PRADESH","15350","29-Sep-2021","28-Sep-2026","9076518974","Active",""
